epoch,accuracy,loss,val_accuracy,val_loss
0,0.5299999713897705,2.569694757461548,0.7211538553237915,0.5570549964904785
1,0.5839999914169312,1.5962300300598145,0.8012820482254028,0.4556032717227936
2,0.6629999876022339,0.9381783604621887,0.8445512652397156,0.42166879773139954
3,0.6859999895095825,0.7259677648544312,0.8509615659713745,0.4190279245376587
4,0.7059999704360962,0.6819573044776917,0.8621794581413269,0.4178517162799835
5,0.7039999961853027,0.5993040204048157,0.8653846383094788,0.4110391139984131
6,0.7379999756813049,0.5417142510414124,0.8685897588729858,0.3903979957103729
7,0.7310000061988831,0.5300243496894836,0.8878205418586731,0.368922621011734
8,0.7630000114440918,0.47835952043533325,0.8910256624221802,0.35158273577690125
9,0.7829999923706055,0.4507707953453064,0.8926281929016113,0.33906328678131104
10,0.7889999747276306,0.4517851769924164,0.8990384340286255,0.32565048336982727
11,0.7950000166893005,0.4321613013744354,0.8910256624221802,0.3190426230430603
12,0.8019999861717224,0.43806174397468567,0.8926281929016113,0.3060663938522339
13,0.8159999847412109,0.41308483481407166,0.8990384340286255,0.29183846712112427
14,0.8209999799728394,0.38130736351013184,0.8910256624221802,0.29366493225097656
15,0.8180000185966492,0.364139199256897,0.8846153616905212,0.3011050522327423
